,Title,Enrolled,Course_Type,Level,Subject,Language,Price[USD],Length[Weeks]
0,How to Learn Online,"124,980",Self-paced on your time,Introductory,Education & Teacher Training,English,49,2
1,Programming for Everybody (Getting Started with Python),"293,864",Self-paced on your time,Introductory,Computer Science,English,49,7
2,CS50's Introduction to Computer Science,"2,442,271",Self-paced on your time,Introductory,Computer Science,English,90,12
3,The Analytics Edge,"129,555",Instructor-led on a course schedule,Intermediate,Data Analysis & Statistics,English,199,13
4,Marketing Analytics: Marketing Measurement Strategy,"81,140",Self-paced on your time,Introductory,Computer Science,English,249,4
5,Introduction to Project Management,"301,793",Self-paced on your time,Introductory,Business & Management,English,199,6
6,Leading High-Performing Teams,"32,847",Self-paced on your time,Intermediate,Communication,English,5,10
7,The Foundations of Happiness at Work,"67,073",Self-paced on your time,Introductory,Business & Management,English,199,4
8,"Managing Study, Stress and Mental Health at University","23,061",Self-paced on your time,Introductory,Health & Safety,English,49,2
9,Six Sigma: Define and Measure,"92,411",Self-paced on your time,Introductory,Business & Management,English,99,8
10,Fat Chance: Probability from the Ground Up,"66,835",Self-paced on your time,Introductory,Math,English,49,7
11,Chasing your Dream: How to End Procrastination and Get a Job You Love,"44,711",Self-paced on your time,Introductory,Communication,English,49,5
12,Bitcoin and Cryptocurrencies,"83,398",Self-paced on your time,Introductory,Computer Science,English,99,6
14,Ethics in Action,"6,366",Self-paced on your time,Intermediate,Ethics,English,49,10
15,Introduction to FinTech,"72,767",Self-paced on your time,Introductory,Economics & Finance,English,199,6
16,Data Science: R Basics,"528,782",Self-paced on your time,Introductory,Data Analysis & Statistics,English,49,8
17,Python Basics for Data Science,"228,809",Self-paced on your time,Introductory,Data Analysis & Statistics,English,39,5
18,The Science of Beer,"39,085",Self-paced on your time,Introductory,Food & Nutrition,English,49,6
19,Strategic Social Media Marketing,"103,640",Instructor-led on a course schedule,Advanced,Business & Management,English,399,6
20,CS50's Introduction to Artificial Intelligence with Python,"258,006",Self-paced on your time,Introductory,Computer Science,English,199,7
21,CS50's Introduction to Game Development,"346,748",Self-paced on your time,Intermediate,Computer Science,English,149,12
22,Rhetoric: The Art of Persuasive Writing and Public Speaking,"320,225",Self-paced on your time,Introductory,Humanities,English,99,8
23,CS50's Web Programming with Python and JavaScript,"698,950",Self-paced on your time,Intermediate,Computer Science,English,90,12
24,Contract Law: From Trust to Promise to Contract,"414,181",Self-paced on your time,Intermediate,Business & Management,English,125,8
25,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron","380,167",Self-paced on your time,Introductory,Biology & Life Sciences,English,99,5
26,Justice,"392,588",Self-paced on your time,Introductory,Humanities,English,99,12
27,Data Science: Machine Learning,"276,209",Self-paced on your time,Introductory,Data Analysis & Statistics,English,49,8
28,Child Protection: Children's Rights in Theory and Practice,"212,453",Self-paced on your time,Introductory,Social Sciences,English,99,16
29,IELTS Academic Test Preparation,"1,103,777",Self-paced on your time,Introductory,Communication,English,99,8
30,The Architectural Imagination,"406,181",Self-paced on your time,Introductory,Architecture,English,99,10
31,TOEFL® Test Preparation: The Insider’s Guide,"1,022,489",Self-paced on your time,Introductory,Communication,English,49,6
32,Principles of Biochemistry,"257,600",Self-paced on your time,Intermediate,Medicine,English,199,15
33,Using Python for Research,"262,183",Self-paced on your time,Intermediate,Computer Science,English,99,12
34,Hinduism Through Its Scriptures,"140,782",Self-paced on your time,Introductory,Humanities,English,99,4
35,Basic Spanish 1: Getting Started,"400,169",Self-paced on your time,Introductory,Communication,English,40,7
36,The Health Effects of Climate Change,"110,024",Self-paced on your time,Introductory,Environmental Studies,English,99,7
37,Inglés básico: conversacional y networking,"79,671",Self-paced on your time,Introductory,Business & Management,Español,49,4
38,Statistics and R,"314,586",Self-paced on your time,Intermediate,Data Analysis & Statistics,English,249,4
39,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),"145,011",Self-paced on your time,Introductory,Chemistry,English,199,16
40,Pyramids of Giza: Ancient Egyptian Art and Archaeology,"123,870",Self-paced on your time,Introductory,Art & Culture,English,99,8
41,"PredictionX: Omens, Oracles & Prophecies","91,566",Self-paced on your time,Introductory,Social Sciences,English,25,1
42,Excel: Fundamentos y herramientas,"284,279",Self-paced on your time,Introductory,Computer Science,Español,50,8
43,Lessons from Ebola: Preventing the Next Pandemic,"91,983",Self-paced on your time,Introductory,Social Sciences,English,49,4
44,Improving Global Health: Focusing on Quality and Safety,"127,353",Self-paced on your time,Intermediate,Social Sciences,English,99,10
45,CS50 for Lawyers,"87,336",Self-paced on your time,Introductory,Computer Science,English,99,10
46,Data Science: Visualization,"171,258",Self-paced on your time,Introductory,Data Analysis & Statistics,English,49,8
47,Christianity Through Its Scriptures,"125,051",Self-paced on your time,Introductory,Humanities,English,99,4
48,The Science of Happiness,"475,614",Self-paced on your time,Introductory,Social Sciences,English,169,11
49,Leaders of Learning,"231,131",Self-paced on your time,Introductory,Communication,English,99,10
50,Exercising Leadership: Foundational Principles,"57,814",Self-paced on your time,Introductory,Business & Management,English,99,4
51,Data Science: Probability,"135,859",Self-paced on your time,Introductory,Data Analysis & Statistics,English,49,8
52,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,"117,410",Self-paced on your time,Intermediate,Education & Teacher Training,English,70,10
53,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context","80,082",Self-paced on your time,Introductory,Medicine,English,99,8
54,Introduction to Family Engagement in Education,"105,146",Self-paced on your time,Introductory,Education & Teacher Training,English,70,6
55,Italian Language and Culture: Beginner (2019-2020),"182,462",Self-paced on your time,Introductory,Language,Italiano,49,12
56,Steps in Japanese for Beginners1 Part1,"53,630",Self-paced on your time,Introductory,Language,English,49,5
57,How to Write an Essay,"306,787",Self-paced on your time,Introductory,Humanities,English,49,5
58,Energy Within Environmental Constraints,"95,324",Self-paced on your time,Introductory,Environmental Studies,English,99,10
59,Introduction to Probability,"97,291",Self-paced on your time,Intermediate,Data Analysis & Statistics,English,99,10
60,AnatomyX: Musculoskeletal Cases,"102,075",Self-paced on your time,Intermediate,Medicine,English,99,7
61,Data Science: Inference and Modeling,"88,256",Self-paced on your time,Introductory,Data Analysis & Statistics,English,49,8
62,Strengthening Community Health Worker Programs,"58,626",Self-paced on your time,Introductory,Health & Safety,English,79,6
63,Buddhism Through Its Scriptures,"182,295",Self-paced on your time,Introductory,Humanities,English,99,4
64,Introduction to Linux,"642,088",Self-paced on your time,Introductory,Computer Science,English,199,14
65,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics","81,221",Self-paced on your time,Introductory,Medicine,English,99,10
66,Shakespeare's Life and Work,"48,938",Self-paced on your time,Introductory,Humanities,English,49,4
67,Marketing Digital: Content & Community Manager,"112,623",Self-paced on your time,Introductory,Communication,Español,49,5
68,Accounting and Finance,"88,243",Self-paced on your time,Intermediate,Business & Management,English,150,11
69,Computing in Python I: Fundamentals and Procedural Programming,"141,966",Self-paced on your time,Introductory,Computer Science,English,99,5
70,"Nutrition, Exercise and Sports","51,679",Self-paced on your time,Intermediate,Food & Nutrition,English,49,6
71,Becoming an Entrepreneur,"104,760",Self-paced on your time,Introductory,Business & Management,English,69,6
72,"Religion, Conflict and Peace","74,060",Self-paced on your time,Introductory,Humanities,English,49,8
73,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You","61,139",Self-paced on your time,Introductory,Humanities,English,49,10
74,Academic and Business Writing,"322,701",Self-paced on your time,Introductory,Communication,English,49,6
75,Data Science: Capstone,"62,803",Self-paced on your time,Introductory,Data Analysis & Statistics,English,99,2
76,Basics of Computing and Programming,"37,045",Self-paced on your time,Introductory,Computer Science,English,200,9
77,"Fundamentals of Neuroscience, Part 2: Neurons and Networks","84,874",Self-paced on your time,Introductory,Biology & Life Sciences,English,99,6
78,Successful Negotiation: Essential Strategies and Skills,"31,369",Self-paced on your time,Introductory,Business & Management,English,49,7
79,Data Science: Linear Regression,"75,310",Self-paced on your time,Introductory,Data Analysis & Statistics,English,49,8
80,HTML5 and CSS Fundamentals,"335,895",Self-paced on your time,Introductory,Computer Science,English,199,6
81,Data Science: Productivity Tools,"66,683",Self-paced on your time,Introductory,Data Analysis & Statistics,English,49,8
82,Introduction to Corporate Finance,"98,093",Self-paced on your time,Introductory,Business & Management,English,225,4
83,Computer Science 101,"39,540",Self-paced on your time,Introductory,Computer Science,English,149,6
84,Data Science: Wrangling,"64,584",Self-paced on your time,Introductory,Data Analysis & Statistics,English,49,8
85,A Hands-on Introduction to Engineering Simulations,"187,138",Self-paced on your time,Intermediate,Engineering,English,199,6
86,AI for Everyone: Master the Basics,"49,340",Self-paced on your time,Introductory,Computer Science,English,49,4
87,The Psychology of Criminal Justice,"110,086",Self-paced on your time,Introductory,Humanities,English,99,8
88,Machine Learning with Python: A Practical Introduction,"80,161",Self-paced on your time,Introductory,Data Analysis & Statistics,English,39,5
89,Analyzing Data with Python,"94,079",Self-paced on your time,Introductory,Data Analysis & Statistics,English,39,5
90,Excel: gestión de datos,"111,785",Self-paced on your time,Intermediate,Computer Science,Español,75,6
91,Probability - The Science of Uncertainty and Data,"205,615",Instructor-led on a course schedule,Advanced,Data Analysis & Statistics,English,300,16
92,"Fundamentals of Neuroscience, Part 3: The Brain","85,034",Self-paced on your time,Introductory,Biology & Life Sciences,English,99,8
93,Sikhism Through Its Scriptures,"44,125",Self-paced on your time,Introductory,Humanities,English,99,4
94,Upper-Intermediate English: Business and Modern Life,"77,991",Self-paced on your time,Intermediate,Language,English,50,4
96,Religious Literacy: Traditions and Scriptures,"96,972",Self-paced on your time,Introductory,Humanities,English,99,4
97,Programación para todos (empezando con Python),"81,004",Self-paced on your time,Introductory,Computer Science,Español,49,7
98,Analyzing and Visualizing Data with Power BI,"28,879",Self-paced on your time,Introductory,Data Analysis & Statistics,English,99,4
99,High-Dimensional Data Analysis,"78,443",Self-paced on your time,Advanced,Data Analysis & Statistics,English,149,4
100,Introduction To Music Theory,"67,029",Self-paced on your time,Introductory,Humanities,English,49,6
101,Human Anatomy,"126,850",Self-paced on your time,Introductory,Medicine,English,139,8
102,"CitiesX: The Past, Present and Future of Urban Life","76,874",Self-paced on your time,Introductory,Social Sciences,English,99,11
103,The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,"24,208",Self-paced on your time,Introductory,Philosophy & Ethics,English,99,13
104,Entrepreneurship 101: Who is your customer?,"41,838",Self-paced on your time,Introductory,Business & Management,English,49,10
105,"U.S. Public Policy: Social, Economic, and Foreign Policies","44,045",Self-paced on your time,Introductory,Social Sciences,English,49,4
106,Machine Learning with Python: from Linear Models to Deep Learning,"85,561",Instructor-led on a course schedule,Advanced,Computer Science,English,300,15
107,Introduction to Data Science,"43,766",Self-paced on your time,Introductory,Data Analysis & Statistics,English,39,6
108,Circuits and Electronics 1: Basic Circuit Analysis,"52,639",Self-paced on your time,Introductory,Electronics,English,169,5
109,Introduction to Investments,"91,788",Self-paced on your time,Intermediate,Business & Management,English,50,5
110,Improving Your Business Through a Culture of Health,"54,136",Self-paced on your time,Introductory,Business & Management,English,99,9
111,Introduction to Linear Models and Matrix Algebra,"92,004",Self-paced on your time,Intermediate,Math,English,149,4
112,DO Your Venture: Entrepreneurship For Everyone,"61,989",Self-paced on your time,Introductory,Business & Management,English,150,6
113,El valor de la creatividad y la innovación: La Economía Naranja,"23,728",Self-paced on your time,Introductory,Art & Culture,Español,25,8
114,Humanitarian Response to Conflict and Disaster,"119,891",Self-paced on your time,Introductory,Health & Safety,English,99,5
115,"Women Making History: Ten Objects, Many Stories","38,939",Self-paced on your time,Introductory,History,English,99,8
116,Masterpieces of World Literature,"88,789",Self-paced on your time,Introductory,Literature,English,149,12
117,SQL for Data Science,"39,184",Self-paced on your time,Introductory,Data Analysis & Statistics,English,39,4
118,El cerebro y las emociones en el lenguaje,"41,279",Self-paced on your time,Introductory,Communication,Español,49,5
119,Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),"62,673",Self-paced on your time,Introductory,Physics,English,169,16
120,Python: aprender a programar,"21,613",Self-paced on your time,Introductory,Computer Science,Español,49,8
121,Marketing Analytics: Competitive Analysis and Market Segmentation,"70,682",Self-paced on your time,Intermediate,Computer Science,English,249,4
122,MalariaX: Defeating Malaria from the Genes to the Globe,"37,598",Self-paced on your time,Intermediate,Biology & Life Sciences,English,49,8
123,Entrepreneurship in Emerging Economies,"113,602",Self-paced on your time,Introductory,Business & Management,English,125,6
124,JavaScript Introduction,"160,112",Self-paced on your time,Introductory,Computer Science,English,199,5
125,People Management,"113,592",Self-paced on your time,Introductory,Business & Management,English,150,6
126,Using Email for Networking in English,"57,208",Self-paced on your time,Introductory,Language,English,149,4
127,Databases: Relational Databases and SQL,"20,502",Self-paced on your time,Introductory,Computer Science,English,50,2
128,C Programming: Getting Started,"104,108",Self-paced on your time,Introductory,Computer Science,English,49,7
129,Supply Chain Analytics,"145,049",Instructor-led on a course schedule,Introductory,Business & Management,English,199,15
130,Programming for the Web with JavaScript,"91,406",Self-paced on your time,Intermediate,Computer Science,English,149,4
131,Introduction to Digital Humanities,"37,501",Self-paced on your time,Introductory,Humanities,English,99,7
132,Upper-Intermediate English: Business and Industry,"103,704",Self-paced on your time,Intermediate,Language,English,50,4
133,EmSAT English Preparation - Level 1,"29,101",Self-paced on your time,Introductory,Language,English,49,6
134,Python for Data Science,"266,978",Self-paced on your time,Advanced,Data Analysis & Statistics,English,350,10
135,Empathy and Emotional Intelligence at Work,"45,867",Self-paced on your time,Introductory,Business & Management,English,199,4
136,Design Thinking and Creativity for Innovation,"47,549",Self-paced on your time,Intermediate,Business & Management,English,5,10
137,China and Communism,"69,104",Self-paced on your time,Introductory,History,English,139,15
138,Mandarin Chinese Level 1,"56,040",Self-paced on your time,Introductory,Language,English,149,6
139,Introduction to Biology - The Secret of Life,"147,512",Instructor-led on a course schedule,Introductory,Biology & Life Sciences,English,150,16
140,Photoshop: una herramienta para presentaciones innovadoras,"22,969",Self-paced on your time,Introductory,Art & Culture,Español,19,5
141,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,"50,949",Self-paced on your time,Introductory,Data Analysis & Statistics,English,99,9
142,生活英语听说 | Conversational English Skills,"301,585",Self-paced on your time,Introductory,Communication,English,49,10
143,Shakespeare’s Othello: The Moor,"31,868",Self-paced on your time,Introductory,Humanities,English,49,4
144,Basic Spanish 2: One Step Further,"67,687",Self-paced on your time,Introductory,Language,English,50,4
