,Title,Price[USD],Subscribers,Reviews,Lectures,Level,Length[Weeks],Subject,Published_Date,Language
0,Ultimate Investment Banking Course,200,2147,23,51,All Levels,1.5,Business Finance,2017-01-18,English
1,Complete GST Course & Certification - Grow Your CA Practice,75,2792,923,274,All Levels,39.0,Business Finance,2017-03-09,English
2,Financial Modeling for Business Analysts and Consultants,45,2174,74,51,Intermediate Level,2.5,Business Finance,2016-12-19,English
3,Beginner to Pro - Financial Analysis in Excel 2017,95,2451,11,36,All Levels,3.0,Business Finance,2017-05-30,English
4,How To Maximize Your Profits Trading Options,200,1276,45,26,Intermediate Level,2.0,Business Finance,2016-12-13,English
5,Trading Penny Stocks: A Guide for All Levels In 2017,150,9221,138,25,All Levels,3.0,Business Finance,2014-05-02,English
6,Investing And Trading For Beginners: Mastering Price Charts,65,1540,178,26,Beginner Level,1.0,Business Finance,2016-02-21,English
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",95,2917,148,23,All Levels,2.5,Business Finance,2015-01-30,English
8,Options Trading 3 : Advanced Stock Profit and Success Method,195,5172,34,38,Expert Level,2.5,Business Finance,2015-05-28,English
9,The Only Investment Strategy You Need For Your Retirement,200,827,14,15,All Levels,1.0,Business Finance,2017-04-18,English
10,Forex Trading Secrets of the Pros With Amazon's AWS,200,4284,93,76,All Levels,5.0,Business Finance,2015-09-11,English
11,Trading Options With Money Flow,200,1380,42,17,All Levels,1.0,Business Finance,2016-10-18,English
12,Financial Management Risk and Return For Securities,30,3607,21,19,All Levels,1.5,Business Finance,2016-02-03,English
13,Forex Trading Course: Work Smarter Not Harder Proven Results,195,4061,52,16,All Levels,2.0,Business Finance,2016-03-16,English
14,Python Algo Trading: Sentiment Trading with News,200,294,19,42,All Levels,7.0,Business Finance,2017-04-28,English
15,Short Selling: Learn To Sell Stocks Before The Fall,75,2276,106,19,Intermediate Level,1.5,Business Finance,2015-06-22,English
16,Basic Technical Analysis: Learn the structure of the market,20,4919,79,16,Beginner Level,1.5,Business Finance,2016-01-08,English
17,The Complete Chart Pattern Trading Course: A Proven Approach,200,2666,115,52,All Levels,4.0,Business Finance,2015-08-10,English
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!,50,5354,24,23,All Levels,1.5,Business Finance,2015-09-21,English
19,Financial Statements Made Easy,95,8095,249,12,Beginner Level,0.5833333333333334,Business Finance,2013-06-09,English
20,Winning Forex Trading with Live Forex Trading Examples,200,809,3,25,All Levels,2.0,Business Finance,2017-06-06,English
21,Forex Traders - Create Your First Trading Robot. No Coding!,200,2295,84,39,All Levels,4.0,Business Finance,2016-05-02,English
22,Create A Business From Home Trading Stocks Today In 2017,75,10149,83,16,All Levels,2.0,Business Finance,2015-05-26,English
23,Introduction to Accounting : Mastering Financial Statements,50,1916,38,23,Beginner Level,1.0,Business Finance,2016-12-05,English
24,The Complete Ethereum Course: Get .01 Ether In Your Wallet,45,2507,333,40,All Levels,2.0,Business Finance,2016-05-30,English
25,Beginner to Pro in PowerPoint: Complete PowerPoint Training,150,5786,518,50,All Levels,5.0,Business Finance,2015-01-31,English
26,Investing 101: The Complete Online Investing Course,200,5334,373,42,All Levels,4.5,Business Finance,2014-11-28,English
27,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,175,4005,237,25,Intermediate Level,2.0,Business Finance,2015-04-12,English
28,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),150,2877,103,81,All Levels,4.5,Business Finance,2016-04-26,English
29,Forex Trading: Your Complete Guide to Get Started Like a Pro,140,1026,25,37,Beginner Level,3.0,Business Finance,2017-06-27,English
30,Python Algo Stock Trading: Automate Your Trading!,95,1165,21,41,Beginner Level,2.5,Business Finance,2017-05-28,English
31,THE Forex Robot: Incredible ROI (Robot Included),200,1843,171,35,All Levels,1.5,Business Finance,2016-10-04,English
32,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45,8797,449,80,All Levels,6.5,Business Finance,2015-01-09,English
33,Mastering High Probability Iron Condor Options Trading,200,1030,11,22,All Levels,2.0,Business Finance,2017-06-01,English
